index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
1045,7e94fad3-0ce6-4382-8f67-ca2b74515b88,02Dec@1,05MyA@2,DecentralizingAgent,MyAgent,37,1,36,-1,-1,32,,"[quantity: (1, 5), time: (37, 42), unit_price: (24, 48)]",02Dec@1,05MyA@2,p2,02Dec@1,False,2,17,-1,,-1,-1
983,d1c80ab0-a8fd-46bb-9302-5b2082cc90f5,03Buy@1,05MyA@2,BuyCheapSellExpensiveAgent,MyAgent,37,69,24,-1,-1,27,,"[quantity: (1, 69), time: (27, 37), unit_price: (1, 24)]",03Buy@1,05MyA@2,p2,05MyA@2,True,2,2,-1,,-1,-1
761,aef0949e-c67b-43cf-b716-3bdd89c33b92,SELLER,00Ran@0,_SystemAgent,RandomAgent,37,4,10,17,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,False,0,0,37,,-1,-1
980,bcf954c8-531b-49d5-94ba-a116c45d2024,02Dec@1,05MyA@2,DecentralizingAgent,MyAgent,37,1,36,-1,-1,27,,"[quantity: (1, 5), time: (32, 37), unit_price: (24, 48)]",02Dec@1,05MyA@2,p2,02Dec@1,False,2,17,-1,,-1,-1
759,f2f2e255-d724-48b7-9fde-d112a2e75bba,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,37,2,54,17,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,False,4,0,-1,07Buy@3:product(1.0),-1,-1
758,780938a1-5317-44a0-8105-18e393317460,SELLER,00Ran@0,_SystemAgent,RandomAgent,37,5,10,17,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,True,0,0,37,,-1,-1
757,b113de3b-9bbd-4702-a9c1-1bc9a870818f,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,37,6,54,17,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,False,4,0,-1,07Buy@3:product(1.0),-1,-1
750,bc3caebe-48da-463a-8c9b-672a9cbb0f27,06Ran@3,BUYER,RandomAgent,_SystemAgent,37,4,54,17,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,True,4,0,-1,06Ran@3:product(1.0),-1,-1
749,41d5a474-63cb-410f-9286-17124aca0dec,SELLER,01Ran@0,_SystemAgent,RandomAgent,37,3,10,17,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,37,,-1,-1
748,1fc19e02-730f-44f5-b502-2af47b90adc1,06Ran@3,BUYER,RandomAgent,_SystemAgent,37,2,54,17,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,False,4,0,-1,06Ran@3:product(1.0),-1,-1
747,9a8af4e6-4502-4e4f-8d5a-67dd67dcf504,06Ran@3,BUYER,RandomAgent,_SystemAgent,37,4,54,17,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,False,4,0,-1,06Ran@3:product(1.0),-1,-1
746,2e23803b-9721-46e0-9624-2b3bc670e506,SELLER,00Ran@0,_SystemAgent,RandomAgent,37,2,10,17,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,True,0,0,37,,-1,-1
762,789c3101-cbfd-4f34-922b-f5c111b925ef,SELLER,01Ran@0,_SystemAgent,RandomAgent,37,3,10,17,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,37,,-1,-1
1028,d6821063-7c58-4002-822a-e59bdf202418,03Buy@1,05MyA@2,BuyCheapSellExpensiveAgent,MyAgent,38,70,24,-1,-1,30,,"[quantity: (1, 70), time: (30, 38), unit_price: (1, 24)]",03Buy@1,05MyA@2,p2,05MyA@2,True,2,2,-1,,-1,-1
1042,ba524e70-1941-4d89-b7a5-05225b9d925c,04Ind@2,06Ran@3,IndDecentralizingAgent,RandomAgent,38,5,69,32,-1,32,04Ind@2|06Ran@3,"[quantity: (1, 5), time: (37, 42), unit_price: (35, 70)]",04Ind@2,06Ran@3,p3,04Ind@2,False,3,9,-1,04Ind@2:product(0.8),-1,-1
1001,bd861a67-0d1b-44d4-a374-d6b49720f2c1,02Dec@1,05MyA@2,DecentralizingAgent,MyAgent,38,1,36,-1,-1,28,,"[quantity: (1, 4), time: (33, 38), unit_price: (24, 48)]",02Dec@1,05MyA@2,p2,02Dec@1,False,2,17,-1,,-1,-1
987,7f7f6b9d-6966-4754-958b-13ef3d05b828,02Dec@1,04Ind@2,DecentralizingAgent,IndDecentralizingAgent,38,1,36,28,-1,28,02Dec@1|04Ind@2,"[quantity: (1, 4), time: (33, 38), unit_price: (24, 48)]",02Dec@1,04Ind@2,p2,02Dec@1,False,2,17,38,,-1,-1
1000,39a6c78f-7569-4589-89fd-13d4b2264af1,03Buy@1,05MyA@2,BuyCheapSellExpensiveAgent,MyAgent,38,69,24,-1,-1,28,,"[quantity: (1, 69), time: (28, 38), unit_price: (1, 24)]",03Buy@1,05MyA@2,p2,05MyA@2,True,2,2,-1,,-1,-1
1074,d53bba92-82c7-49de-b1c9-3153b7ecc3be,03Buy@1,04Ind@2,BuyCheapSellExpensiveAgent,IndDecentralizingAgent,38,4,13,35,-1,35,04Ind@2|03Buy@1,"[quantity: (1, 4), time: (35, 39), unit_price: (1, 24)]",03Buy@1,04Ind@2,p2,04Ind@2,True,2,17,-1,03Buy@1:product(1.0),-1,-1
1077,4ee49b6d-6c43-4527-8b60-328913527879,04Ind@2,07Buy@3,IndDecentralizingAgent,BuyCheapSellExpensiveAgent,38,5,17,-1,-1,35,,"[quantity: (1, 5), time: (35, 39), unit_price: (1, 35)]",04Ind@2,07Buy@3,p3,07Buy@3,True,3,17,-1,,-1,-1
1093,10675ea0-2e12-46f1-8852-c4ce0a57cb20,00Ran@0,02Dec@1,RandomAgent,DecentralizingAgent,38,4,1,37,-1,37,02Dec@1|00Ran@0,"[quantity: (1, 5), time: (37, 41), unit_price: (1, 17)]",00Ran@0,02Dec@1,p1,02Dec@1,True,1,7,-1,00Ran@0:product(1.0),-1,-1
1101,f94673a9-14bf-480e-9af3-c0c0337679d2,03Buy@1,05MyA@2,BuyCheapSellExpensiveAgent,MyAgent,38,70,24,-1,-1,37,,"[quantity: (1, 70), time: (37, 38), unit_price: (1, 24)]",03Buy@1,05MyA@2,p2,05MyA@2,True,2,2,-1,,-1,-1
1057,097f2a71-1c07-490e-a1b0-270211da5dce,02Dec@1,05MyA@2,DecentralizingAgent,MyAgent,38,1,36,-1,-1,33,,"[quantity: (1, 4), time: (38, 43), unit_price: (24, 48)]",02Dec@1,05MyA@2,p2,02Dec@1,False,2,17,-1,,-1,-1
1023,1613cb93-55f5-43d0-8441-6ce8682ce010,04Ind@2,06Ran@3,IndDecentralizingAgent,RandomAgent,38,2,67,30,-1,30,04Ind@2|06Ran@3,"[quantity: (1, 2), time: (35, 40), unit_price: (35, 70)]",04Ind@2,06Ran@3,p3,04Ind@2,False,3,11,38,,-1,-1
784,5cf20993-a3aa-4e52-8472-1e48049183ed,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,38,3,54,18,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,False,4,0,-1,07Buy@3:product(1.0),-1,-1
774,1d7d5b22-072c-462f-b1f7-ed542c91fbe7,06Ran@3,BUYER,RandomAgent,_SystemAgent,38,4,54,18,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,False,4,0,-1,06Ran@3:product(1.0),-1,-1
775,79ce3d19-4296-4bed-a1b6-a8b6160a6409,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,38,5,54,18,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,False,4,0,-1,07Buy@3:product(1.0),-1,-1
