index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
3770,87d482df-d960-43a3-a9f0-8e91596bc991,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,113,2,35,58,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,False,3,0,113,,-1,-1
3769,44fcfff6-406e-4bc9-b2df-217604481061,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,113,1,35,58,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,113,,-1,-1
3768,865b62ec-3924-4c8a-8fd2-054e091ae905,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,113,1,10,58,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,113,,-1,-1
3765,ef6b333e-3c5d-45b5-ac27-7e22e1af8a99,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,113,1,35,58,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,False,3,0,113,,-1,-1
3766,0cfc3dad-6889-49f6-a8e3-f372cad16023,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,113,2,10,58,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,113,,-1,-1
3760,370e798d-0762-4036-8a0a-34b5274b9bf8,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,113,1,35,58,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,113,,-1,-1
3755,2eb8c134-a4aa-4c9f-942c-7e96fac8b2c3,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,113,1,10,58,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,113,,-1,-1
3764,aecbfc92-9403-4fe1-b6c6-ff47968e11bb,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,113,1,35,58,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,False,3,0,113,,-1,-1
3763,33cd3473-bcf1-4286-b2b7-447ee80e4392,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,113,2,10,58,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,113,,-1,-1
3762,0e50a3c3-2698-4738-a3f3-79823e042452,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,113,1,10,58,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,113,,-1,-1
3761,4e3bc778-449b-4283-8d5c-fa662d5ed5bd,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,113,1,35,58,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,113,,-1,-1
3756,e0e817da-3231-40aa-8948-550e930d59b2,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,113,1,10,58,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,113,,-1,-1
3757,1db83e39-bc5d-441b-9bfc-bb1ca0d90178,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,113,2,35,58,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,113,,-1,-1
