index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
1347,a4bbc946-7f7c-440f-8486-c5b561f3026a,03Dec@1,05Dec@2,DecentralizingAgent,DecentralizingAgent,12,5,38,3,-1,3,03Dec@1|05Dec@2,"[quantity: (1, 5), time: (7, 12), unit_price: (25, 50)]",03Dec@1,05Dec@2,p2,03Dec@1,False,2,17,12,,-1,-1
1348,b2ccd18f-9c6a-4070-b967-bb13bbfdbbc6,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,58,1,10,3,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,58,,-1,-1
1349,507ed4d4-236f-409b-8037-aa1e51657be4,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,58,1,10,3,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,58,,-1,-1
1350,3d7bf852-5b5e-43ef-b6ec-6537f177e964,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,58,3,10,3,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,58,,-1,-1
1351,809ae364-8873-45bf-9d7c-01766a6d6ae2,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,58,1,10,3,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,58,,-1,-1
1352,97a59bc6-6b77-483e-87a8-6fde26abd1c0,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,58,2,10,3,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,58,,-1,-1
1353,a413a996-a025-4656-8a71-605f4d8344f9,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,58,1,10,3,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,58,,-1,-1
1354,2e2f20c7-599a-46d7-9745-e627afb0f325,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,58,3,10,3,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,58,,-1,-1
1355,4ee3250f-546b-498a-af4a-2be759d6bd73,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,58,1,10,3,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,58,,-1,-1
1356,d594ab2c-ac4a-4954-99f5-344bd6994483,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,58,1,10,3,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,58,,-1,-1
1357,fc2916cf-6703-48a0-9f3b-bbb019f57a6b,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,58,2,10,3,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,58,,-1,-1
1358,505ea200-2085-44cc-bcbd-84b11beaf801,03Dec@1,04Dec@2,DecentralizingAgent,DecentralizingAgent,10,5,38,3,-1,3,03Dec@1|04Dec@2,"[quantity: (1, 5), time: (5, 10), unit_price: (25, 50)]",03Dec@1,04Dec@2,p2,03Dec@1,False,2,17,10,,-1,-1
