index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
599,da3e3057-3dfc-4c96-99ce-fa2f9d3fc601,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,41,4,10,22,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,True,0,0,41,,-1,-1
600,ff8969a9-3859-4574-b6cc-0d74308e43f7,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,41,2,10,22,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,True,0,0,41,,-1,-1
601,4a4fd757-8027-46bb-a66a-8fcd543af6fe,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,41,2,10,22,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,True,0,0,41,,-1,-1
602,64c4390e-206a-4a05-ab39-68214e38f0a9,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,42,4,46,23,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,42,,-1,-1
603,ab6b0fa3-605a-4e85-8107-6a72f220f9d8,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,42,5,10,23,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,False,0,0,42,,-1,-1
604,8cac91c3-c023-42f4-8c7d-1df681481202,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,42,3,10,23,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,False,0,0,42,,-1,-1
605,2afd5fee-35b8-4c54-9c0a-22091481b3b1,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,42,2,46,23,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,-1,05Dec@2:product(0.5),-1,-1
606,28c12b21-1d4e-4d14-aa60-d26825a292b7,00Buy@0,03Dec@1,BuyCheapSellExpensiveAgent,DecentralizingAgent,27,1,11,23,-1,23,03Dec@1|00Buy@0,"[quantity: (1, 5), time: (23, 27), unit_price: (1, 21)]",00Buy@0,03Dec@1,p1,03Dec@1,True,1,17,-1,00Buy@0:product(1.0),-1,-1
607,4986a024-f547-4d26-b866-45ad786eea04,03Dec@1,05Dec@2,DecentralizingAgent,DecentralizingAgent,30,5,47,23,-1,23,03Dec@1|05Dec@2,"[quantity: (1, 5), time: (26, 31), unit_price: (32, 64)]",03Dec@1,05Dec@2,p2,03Dec@1,False,2,17,-1,03Dec@1:product(0.8),-1,-1
608,edfd34df-2489-4a98-9c88-ea1407ca06f5,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,42,2,10,23,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,42,,-1,-1
609,06710f14-757a-445f-9334-dfebda5afa2c,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,42,2,10,23,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,False,0,0,42,,-1,-1
610,ce0c94e7-3f63-4c06-aa7f-bcb969e55ac3,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,42,2,10,23,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,42,,-1,-1
611,80c9626a-4c91-45be-916f-02094913886d,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,42,4,46,23,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,-1,05Dec@2:product(1.0),-1,-1
612,b80fa660-c18d-4250-9a84-bd743dc687b2,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,42,3,10,23,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,42,,-1,-1
613,968bc573-6385-4f6d-86ec-0d7130e63305,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,42,3,10,23,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,False,0,0,42,,-1,-1
614,26eca38c-2232-4bb3-ab76-b93e90bd4c32,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,42,1,46,23,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,-1,05Dec@2:product(1.0),-1,-1
615,12b6c0c5-9ccf-4f3c-ab19-777f1cf589f2,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,43,4,46,24,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,-1,05Dec@2:product(1.0),-1,-1
616,cc1d1c80-ab44-4825-a75b-390349c5b6c5,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,43,2,10,24,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,True,0,0,43,,-1,-1
617,2e7f2015-4a7a-47d5-8f75-2a5490b45bc8,01Buy@0,03Dec@1,BuyCheapSellExpensiveAgent,DecentralizingAgent,28,1,11,24,-1,24,03Dec@1|01Buy@0,"[quantity: (1, 5), time: (24, 28), unit_price: (1, 21)]",01Buy@0,03Dec@1,p1,03Dec@1,True,1,17,-1,01Buy@0:product(1.0),-1,-1
