,game_index,t,sold_quantity_0,unit_price_0,sold_quantity_1,unit_price_1,sold_quantity_2,unit_price_2
428,3,28,20,10.0,17,34.882352941176464,35,3.5428571428571427
429,3,29,20,10.0,21,32.52380952380953,66,5.606060606060606
430,3,30,20,10.0,48,23.47916666666667,26,3.3076923076923075
431,3,31,20,10.0,17,34.05882352941177,45,3.8222222222222224
432,3,32,20,10.0,27,29.592592592592588,11,3.4545454545454546
433,3,33,20,10.0,40,21.225,40,3.75
434,3,34,20,10.0,11,33.63636363636363,30,2.5
435,3,35,20,10.0,23,20.0,50,4.14
436,3,36,20,10.0,43,20.3953488372093,9,1.3333333333333333
437,3,37,20,10.0,16,29.75,45,2.7333333333333334
438,3,38,20,10.0,27,29.703703703703702,12,1.0
439,3,39,20,10.0,12,41.0,102,3.607843137254902
440,3,40,20,10.0,24,18.83333333333333,32,3.4375
441,3,41,20,10.0,41,33.951219512195124,28,1.5
442,3,42,20,10.0,29,32.55172413793103,77,3.51948051948052
443,3,43,20,10.0,45,20.0,67,3.2238805970149254
444,3,44,20,10.0,16,38.0,50,4.04
445,3,45,20,10.0,31,27.935483870967737,60,2.316666666666667
446,3,46,20,10.0,0,,44,3.0909090909090913
447,3,47,20,10.0,27,36.37037037037037,41,5.512195121951219
448,3,48,20,10.0,32,41.46875,47,2.2978723404255317
449,3,49,20,10.0,0,,77,3.3506493506493507
450,3,50,20,10.0,0,,36,4.6944444444444455
451,3,51,20,10.0,0,,26,1.0
452,3,52,20,10.0,33,40.81818181818182,10,2.0
453,3,53,20,10.0,0,,0,
454,3,54,20,10.0,14,42.0,39,4.9230769230769225
455,3,55,20,10.0,17,38.588235294117645,7,2.0
456,3,56,20,10.0,9,40.0,13,2.0
457,3,57,20,10.0,2,37.0,6,2.0
458,3,58,20,10.0,29,39.0,28,1.7142857142857142
459,3,59,20,10.0,1,41.0,6,2.0
460,3,60,20,10.0,10,41.0,5,3.2
461,3,61,20,10.0,15,41.0,8,7.0
462,3,62,20,10.0,7,39.714285714285715,34,6.794117647058822
463,3,63,20,10.0,11,37.0,0,
464,3,64,20,10.0,17,42.0,4,5.0
465,3,65,20,10.0,2,42.0,14,2.4285714285714284
466,3,66,20,10.0,19,39.0,17,4.117647058823529
467,3,67,20,10.0,5,42.0,14,6.7142857142857135
468,3,68,20,10.0,25,40.84,7,1.5714285714285714
469,3,69,20,10.0,22,38.5,9,1.1111111111111112
470,3,70,20,10.0,11,40.0,12,2.9166666666666665
471,3,71,20,10.0,9,42.0,0,
