index,contract,contract_id,type,level,id,perpetrator,perpetrator_type,victims,step,resolved
68,"07Buy@3, 05Ran@2 agreed on {'quantity': 9, 'time': 7, 'unit_price': 9} [id af034f8f-d312-4d15-85f1-e2a9b3bc0be7]",af034f8f-d312-4d15-85f1-e2a9b3bc0be7,product,1.0,1d85c8bf-7255-4849-a34e-b9bfa17acb42,05Ran@2,str,['07Buy@3'],-1,False
69,"07Buy@3, 05Ran@2 agreed on {'quantity': 14, 'time': 7, 'unit_price': 5} [id 9c17792f-1e90-4d43-9084-384fd94d43cb]",9c17792f-1e90-4d43-9084-384fd94d43cb,product,1.0,f00fd460-1169-479f-b6a4-19a755d6d665,05Ran@2,str,['07Buy@3'],-1,False
70,"07Buy@3, 04Ran@2 agreed on {'quantity': 7, 'time': 7, 'unit_price': 5} [id aa4fdc8d-461a-4ef8-8231-a011c90eb6f0]",aa4fdc8d-461a-4ef8-8231-a011c90eb6f0,product,1.0,7591944e-8f43-4f2f-9b27-09168392cc5f,04Ran@2,str,['07Buy@3'],-1,False
71,"07Buy@3, 05Ran@2 agreed on {'quantity': 10, 'time': 7, 'unit_price': 5} [id f3354880-8820-45a3-bed3-5a51a08b6eba]",f3354880-8820-45a3-bed3-5a51a08b6eba,product,1.0,9fd2d0bf-42a4-4e0f-bb6a-d0b1bd79aacc,05Ran@2,str,['07Buy@3'],-1,False
72,"07Buy@3, 04Ran@2 agreed on {'quantity': 8, 'time': 7, 'unit_price': 1} [id f080d01e-0c21-4d1f-8806-279c99e02e43]",f080d01e-0c21-4d1f-8806-279c99e02e43,product,1.0,ceee2b1d-c970-4aa5-afd6-18b1e9978266,04Ran@2,str,['07Buy@3'],-1,False
73,"06Dec@3, 04Ran@2 agreed on {'quantity': 9, 'time': 7, 'unit_price': 19} [id 6e06e962-794a-477f-9843-52a168e2e544]",6e06e962-794a-477f-9843-52a168e2e544,product,1.0,4c49b011-6c21-4013-8680-f4a8742e9e19,04Ran@2,str,['06Dec@3'],-1,False
74,"06Dec@3, 05Ran@2 agreed on {'quantity': 6, 'time': 7, 'unit_price': 1} [id e7beb5f7-2460-4186-8d30-e4ec5c5cc502]",e7beb5f7-2460-4186-8d30-e4ec5c5cc502,product,1.0,a269f070-1368-44b7-8932-fd744044d6c5,05Ran@2,str,['06Dec@3'],-1,False
75,"07Buy@3, 04Ran@2 agreed on {'quantity': 7, 'time': 7, 'unit_price': 1} [id a2381705-12c7-464c-a504-b0a2be2ed747]",a2381705-12c7-464c-a504-b0a2be2ed747,product,1.0,6b2473dc-d652-4fd1-993a-728c5c6ff4b3,04Ran@2,str,['07Buy@3'],-1,False
76,"BUYER, 07Buy@3 agreed on {'time': 7, 'quantity': 5, 'unit_price': 41} [id 9595515d-106e-454b-b2bf-8e003ca70088]",9595515d-106e-454b-b2bf-8e003ca70088,product,1.0,463fe12a-eb01-4617-b4b5-4e725c5d4f0d,07Buy@3,str,['BUYER'],-1,False
77,"BUYER, 07Buy@3 agreed on {'time': 7, 'quantity': 2, 'unit_price': 41} [id 9e8efb93-1c80-4b42-ba53-6c92fc374690]",9e8efb93-1c80-4b42-ba53-6c92fc374690,product,1.0,37a1d0a1-2540-4cb6-bbcb-29b2f0bc7229,07Buy@3,str,['BUYER'],-1,False
78,"BUYER, 07Buy@3 agreed on {'time': 7, 'quantity': 2, 'unit_price': 41} [id dc8ee203-37b5-45bb-b3fc-dee793f25f72]",dc8ee203-37b5-45bb-b3fc-dee793f25f72,product,1.0,1bd068ac-6eab-4c00-bf1c-70173bd06135,07Buy@3,str,['BUYER'],-1,False
79,"03Ind@1, 04Ran@2 agreed on {'quantity': 7, 'time': 8, 'unit_price': 48} [id 23f159cb-fb1a-43ac-a5ea-9a36329c2f83]",23f159cb-fb1a-43ac-a5ea-9a36329c2f83,product,0.14285714285714285,3defe663-849b-4650-a813-e0320020ebdd,03Ind@1,str,['04Ran@2'],-1,False
80,"03Ind@1, 04Ran@2 agreed on {'quantity': 6, 'time': 8, 'unit_price': 46} [id b129c435-9015-40f9-8103-6d295f4dd6ef]",b129c435-9015-40f9-8103-6d295f4dd6ef,product,1.0,dd599d9d-16b0-453b-9a37-f942674b9f0e,03Ind@1,str,['04Ran@2'],-1,False
81,"07Buy@3, 04Ran@2 agreed on {'quantity': 9, 'time': 8, 'unit_price': 1} [id dbfea350-3cac-4070-b792-72dea557a43a]",dbfea350-3cac-4070-b792-72dea557a43a,product,1.0,f291e84f-151e-4cfb-973f-858f76f7426b,04Ran@2,str,['07Buy@3'],-1,False
82,"07Buy@3, 04Ran@2 agreed on {'quantity': 8, 'time': 8, 'unit_price': 5} [id 5693e052-ac62-46d3-93e8-006b35b640fd]",5693e052-ac62-46d3-93e8-006b35b640fd,product,1.0,7de0ea0a-9db0-4ff8-a477-291b4ae7cddc,04Ran@2,str,['07Buy@3'],-1,False
83,"07Buy@3, 05Ran@2 agreed on {'quantity': 5, 'time': 8, 'unit_price': 5} [id 4b4d66e9-bf94-4b5a-910b-ec964a9b7afc]",4b4d66e9-bf94-4b5a-910b-ec964a9b7afc,product,1.0,a45b63f1-5254-4cd2-8845-da34233d9c9c,05Ran@2,str,['07Buy@3'],-1,False
84,"07Buy@3, 05Ran@2 agreed on {'quantity': 11, 'time': 8, 'unit_price': 7} [id cf2dd36d-69f8-4d2e-9c5f-bf55e5292fc2]",cf2dd36d-69f8-4d2e-9c5f-bf55e5292fc2,product,1.0,79f6773f-3fd4-4324-ab9c-77a65533f9d2,05Ran@2,str,['07Buy@3'],-1,False
85,"07Buy@3, 04Ran@2 agreed on {'quantity': 1, 'time': 8, 'unit_price': 2} [id 9cf72ae0-a213-489c-895d-2e58dd11070b]",9cf72ae0-a213-489c-895d-2e58dd11070b,product,1.0,d20c4743-ae90-4ccc-8900-b41c86ed8e4c,04Ran@2,str,['07Buy@3'],-1,False
86,"07Buy@3, 04Ran@2 agreed on {'quantity': 10, 'time': 8, 'unit_price': 2} [id fc7582fe-f515-4316-b340-37614daf7287]",fc7582fe-f515-4316-b340-37614daf7287,product,1.0,f072cb22-2d6f-4c35-a405-5a4b935341bf,04Ran@2,str,['07Buy@3'],-1,False
87,"07Buy@3, 05Ran@2 agreed on {'quantity': 12, 'time': 8, 'unit_price': 1} [id 4be7803b-1943-4b82-99a9-f479d63813eb]",4be7803b-1943-4b82-99a9-f479d63813eb,product,1.0,c44cc330-e3ba-4cb2-95e0-fba66318ca36,05Ran@2,str,['07Buy@3'],-1,False
