index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
1143,7ab5ca06-c3e4-48b3-8889-e5a637a29628,05Ran@2,BUYER,RandomAgent,_SystemAgent,49,1,34,4,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,False,3,0,-1,05Ran@2:product(1.0),-1,-1
1144,5f5b3d8e-747d-4279-81f2-667c8cf36484,05Ran@2,BUYER,RandomAgent,_SystemAgent,49,3,34,4,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,False,3,0,-1,05Ran@2:product(1.0),-1,-1
1145,6e9a5234-6e91-4521-a5e5-904efa175ac3,01Dec@0,02Ind@1,DecentralizingAgent,IndDecentralizingAgent,6,5,10,4,-1,4,02Ind@1|01Dec@0,"[quantity: (1, 5), time: (4, 8), unit_price: (1, 18)]",01Dec@0,02Ind@1,p1,02Ind@1,True,1,17,6,,-1,-1
1146,ca0ae2da-c86f-4dce-96e6-7a7eb7227c80,02Ind@1,04Dec@2,IndDecentralizingAgent,DecentralizingAgent,10,26,41,4,-1,4,02Ind@1|04Dec@2,"[quantity: (1, 26), time: (9, 14), unit_price: (26, 52)]",02Ind@1,04Dec@2,p2,02Ind@1,False,2,17,-1,02Ind@1:product(0.6153846153846154),-1,-1
1147,aa23ffa0-e7c4-4e98-8cc4-ad6489813394,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,49,3,10,4,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,49,,-1,-1
1148,51630740-f23c-4c95-84b1-9eff44d7bcd4,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,49,1,10,4,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,49,,-1,-1
1149,f7a8a7fe-ccd5-4350-a17d-6401fe37cf65,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,49,1,10,4,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,49,,-1,-1
1150,29a45abf-19b0-4bcf-b01b-fa373bc4efac,02Ind@1,05Ran@2,IndDecentralizingAgent,RandomAgent,40,7,21,4,-1,4,05Ran@2|02Ind@1,"[quantity: (1, 7), time: (4, 42), unit_price: (1, 26)]",02Ind@1,05Ran@2,p2,05Ran@2,True,2,13,40,,-1,-1
1151,60f69c24-1d31-4821-9338-cb632ed539ef,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,50,1,10,5,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,50,,-1,-1
1152,6dfdd47a-20ab-480f-8038-9fb35dd60d69,05Ran@2,BUYER,RandomAgent,_SystemAgent,50,2,34,5,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
1153,0f8de004-2a53-4e66-9061-91564d09d8be,05Ran@2,BUYER,RandomAgent,_SystemAgent,50,2,34,5,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
1154,193ede2f-7645-4ba3-8aaf-1a458a81261f,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,50,3,10,5,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,50,,-1,-1
1155,60abbcaf-1a63-4ff6-8845-ee4516d287c1,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,50,4,10,5,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,50,,-1,-1
1156,9f13ee6a-a200-47ec-a74b-dc52d68aa005,05Ran@2,BUYER,RandomAgent,_SystemAgent,50,2,34,5,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,False,3,0,-1,05Ran@2:product(1.0),-1,-1
