index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
1984,db1f6871-58aa-42f2-98fc-b38ed49584a0,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,112,1,10,58,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,112,,-1,-1
1985,27ec0949-63a1-4108-9013-e748efb5fe7a,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,112,3,10,58,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,112,,-1,-1
1986,c151f776-bd06-45e9-b191-392108fc2287,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,112,2,10,58,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,112,,-1,-1
1987,d4d3661a-9dfd-45e8-af51-b755563621a7,05Ran@2,BUYER,RandomAgent,_SystemAgent,112,1,38,58,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
1988,d416d74e-9e9a-42ff-b1a7-811d2bf3008e,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,112,2,10,58,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,112,,-1,-1
1989,629ee91a-71ec-4f5e-a726-e2c75d364271,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,112,3,10,58,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,112,,-1,-1
1990,be19b7de-ff07-485e-bdd0-23957765410b,05Ran@2,BUYER,RandomAgent,_SystemAgent,112,1,38,58,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
1991,1fbf5bd0-7c41-4a66-9477-168afa02fc29,05Ran@2,BUYER,RandomAgent,_SystemAgent,112,1,38,58,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
1992,01a2c15a-eb04-4f2b-8121-630c476359ce,00Buy@0,02Dec@1,BuyCheapSellExpensiveAgent,DecentralizingAgent,64,5,11,58,-1,58,02Dec@1|00Buy@0,"[quantity: (1, 5), time: (58, 64), unit_price: (1, 23)]",00Buy@0,02Dec@1,p1,02Dec@1,True,1,17,-1,00Buy@0:product(1.0),-1,-1
1993,22f140f0-7e02-4a6e-b766-894b6a643545,01Dec@0,03Ind@1,DecentralizingAgent,IndDecentralizingAgent,66,2,35,58,-1,58,01Dec@0|03Ind@1,"[quantity: (1, 2), time: (63, 68), unit_price: (23, 46)]",01Dec@0,03Ind@1,p1,01Dec@0,False,1,17,66,,-1,-1
1994,82f594af-ff5e-41ec-87be-5d677f235082,00Buy@0,02Dec@1,BuyCheapSellExpensiveAgent,DecentralizingAgent,65,27,23,58,-1,58,02Dec@1|00Buy@0,"[quantity: (1, 27), time: (58, 65), unit_price: (1, 23)]",00Buy@0,02Dec@1,p1,02Dec@1,True,1,2,-1,00Buy@0:product(1.0),-1,-1
1995,5d08aefb-55c9-46ff-9af7-c57129aae305,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,112,2,10,58,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,112,,-1,-1
1996,16b8d47f-4684-41b5-9c47-ae6bb261bf5b,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,112,1,10,58,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,112,,-1,-1
1997,955cf2fe-171e-498f-9570-c08f8a78bb59,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,112,1,10,58,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,112,,-1,-1
