index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
554,6f142e33-a20f-412b-a2d1-9ba1e9be5d16,04Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,18,1,38,0,-1,-1,BUYER|04Buy@2,[],04Buy@2,BUYER,p3,BUYER,True,3,0,-1,04Buy@2:product(1.0),-1,-1
555,83a378a9-c27e-4318-950c-a24162731574,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,24,1,38,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
556,a5887c86-083f-4534-9211-21c9a3f29c59,04Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,72,2,38,0,-1,-1,BUYER|04Buy@2,[],04Buy@2,BUYER,p3,BUYER,True,3,0,-1,04Buy@2:product(1.0),-1,-1
557,0a14c9e5-3b03-4282-aa4f-4a0ba027e65c,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,52,1,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,52,,-1,-1
558,fb23a4bc-8619-4393-92c6-7a4bc911ab52,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,33,2,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,33,,-1,-1
559,44145575-b9b2-43dd-9233-778a597668a5,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,74,1,10,0,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,74,,-1,-1
560,3d8bc622-72cb-40a3-a3f0-3d8475cf6b34,04Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,17,1,38,0,-1,-1,BUYER|04Buy@2,[],04Buy@2,BUYER,p3,BUYER,False,3,0,-1,04Buy@2:product(1.0),-1,-1
561,86f85315-dea2-4845-b17f-3b510a124184,04Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,67,3,38,0,-1,-1,BUYER|04Buy@2,[],04Buy@2,BUYER,p3,BUYER,False,3,0,-1,04Buy@2:product(1.0),-1,-1
562,1031b758-e414-4774-9e0c-d49da280cb85,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,34,2,38,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
563,412b2b54-96b7-4d26-9051-7dbaa189fff0,04Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,44,1,38,0,-1,-1,BUYER|04Buy@2,[],04Buy@2,BUYER,p3,BUYER,False,3,0,-1,04Buy@2:product(1.0),-1,-1
