index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
936,585b3ab3-71ba-49e3-b088-b68dd79aa6fd,SELLER,01Ran@0,_SystemAgent,RandomAgent,43,1,10,26,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,43,,-1,-1
937,1b934a5c-c7a0-4de7-9b45-924713906041,05Ran@2,BUYER,RandomAgent,_SystemAgent,43,1,29,26,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
938,99ebf428-c80a-4d2b-9dcb-f8853a7634f0,SELLER,01Ran@0,_SystemAgent,RandomAgent,43,2,10,26,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,43,,-1,-1
939,61c7f2ac-9b94-4b9e-8e06-a289030f2f39,SELLER,01Ran@0,_SystemAgent,RandomAgent,43,2,10,26,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,43,,-1,-1
940,38b9e9ea-1263-459d-a11e-4fd6dc41799d,05Ran@2,BUYER,RandomAgent,_SystemAgent,43,4,29,26,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,True,3,0,-1,05Ran@2:product(1.0),-1,-1
941,07c1a5f0-98c1-4e85-8a92-8c7479a69781,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,43,3,10,26,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,43,,-1,-1
942,a34a681c-1e3c-4f6f-a79e-9bc4ff24add2,SELLER,01Ran@0,_SystemAgent,RandomAgent,43,1,10,26,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,43,,-1,-1
943,c6e01f3e-e1c4-483f-8060-2de712e32831,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,44,1,10,27,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,44,,-1,-1
944,e21cdae8-4f4c-4927-a773-af45e8eb9a74,00Ind@0,03Buy@1,IndDecentralizingAgent,BuyCheapSellExpensiveAgent,37,12,23,27,-1,27,00Ind@0|03Buy@1,"[quantity: (1, 15), time: (32, 37), unit_price: (15, 30)]",00Ind@0,03Buy@1,p1,00Ind@0,False,1,17,37,,-1,-1
945,f85cb1b7-e6c7-467f-93ef-6e393f8278f0,05Ran@2,BUYER,RandomAgent,_SystemAgent,44,4,29,27,-1,-1,BUYER|05Ran@2,[],05Ran@2,BUYER,p3,BUYER,False,3,0,-1,05Ran@2:product(1.0),-1,-1
