index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
473,16140bd2-dc93-4c52-b3ce-26be0e206fea,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,37,2,36,15,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,37,,-1,-1
474,cd6b74d5-bb9f-4d1f-a67e-dce0286e72c3,04Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,37,2,36,15,-1,-1,BUYER|04Buy@2,[],04Buy@2,BUYER,p3,BUYER,True,3,0,-1,04Buy@2:product(1.0),-1,-1
475,e6f68c91-8cd2-45a9-9602-89f3a3c792a6,03Dec@1,04Buy@2,DecentralizingAgent,BuyCheapSellExpensiveAgent,26,13,43,16,-1,16,03Dec@1|04Buy@2,"[quantity: (1, 13), time: (21, 26), unit_price: (28, 56)]",03Dec@1,04Buy@2,p2,03Dec@1,False,2,17,26,,-1,-1
476,7e548129-dd79-4313-9f42-aaccc0a95db0,04Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,38,4,36,16,-1,-1,BUYER|04Buy@2,[],04Buy@2,BUYER,p3,BUYER,True,3,0,-1,04Buy@2:product(1.0),-1,-1
477,fb7fad40-2693-4d25-9ae6-ad74fc0c4e2b,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,38,2,36,16,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,38,,-1,-1
478,2983e63f-98db-4dd0-a7b8-ee5fc26b6a56,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,38,3,36,16,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,38,,-1,-1
479,5a8bc396-0d2e-4f0f-87a5-d4e897db5c52,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,38,3,10,16,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,False,0,0,38,,-1,-1
480,85988209-f826-4031-869b-a1c3f69997e7,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,38,3,10,16,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,False,0,0,38,,-1,-1
481,bc1d41f6-fbc5-4503-8d5c-eba9e3eb5b93,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,38,4,36,16,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,38,,-1,-1
482,641c5a75-f957-42fb-a0bc-7d6e57d631e0,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,38,2,36,16,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,38,,-1,-1
