index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
1056,b16a179a-a881-4b44-898e-80965de90e34,03Dec@1,05Ran@2,DecentralizingAgent,RandomAgent,23,2,42,14,-1,14,03Dec@1|05Ran@2,"[quantity: (1, 4), time: (19, 24), unit_price: (22, 44)]",03Dec@1,05Ran@2,p2,03Dec@1,False,2,15,23,,-1,-1
1057,d2cf1dfb-0d89-4d19-9cf5-1f6dc8a40b56,04Dec@2,06Ran@3,DecentralizingAgent,RandomAgent,22,5,65,14,-1,14,04Dec@2|06Ran@3,"[quantity: (1, 5), time: (18, 23), unit_price: (34, 68)]",04Dec@2,06Ran@3,p3,04Dec@2,False,3,12,-1,04Dec@2:product(1.0),-1,-1
1058,de153cf7-aa5b-4101-ba6a-4d110fa828f4,04Dec@2,07Ran@3,DecentralizingAgent,RandomAgent,21,1,68,14,-1,14,04Dec@2|07Ran@3,"[quantity: (1, 5), time: (18, 23), unit_price: (34, 68)]",04Dec@2,07Ran@3,p3,04Dec@2,False,3,12,-1,04Dec@2:product(1.0),-1,-1
1059,d92c61bb-8c25-41a7-a8e7-1231339ac5a6,02Dec@1,05Ran@2,DecentralizingAgent,RandomAgent,24,3,44,15,-1,15,02Dec@1|05Ran@2,"[quantity: (1, 5), time: (20, 25), unit_price: (22, 44)]",02Dec@1,05Ran@2,p2,02Dec@1,False,2,11,24,,-1,-1
1060,dbf7f720-6de5-4055-82b7-fca3f549624d,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,52,2,10,15,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,False,0,0,52,,-1,-1
1061,bf38bfab-3384-44de-9d72-dc6dfd31266e,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,52,1,10,15,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,False,0,0,52,,-1,-1
1062,f9e44c16-fe91-4aba-9237-b498305e5106,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,52,1,10,15,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,False,0,0,52,,-1,-1
1063,91242041-2f2c-47ac-a683-1ad94f47490f,04Dec@2,06Ran@3,DecentralizingAgent,RandomAgent,21,1,67,15,-1,15,04Dec@2|06Ran@3,"[quantity: (1, 1), time: (20, 25), unit_price: (34, 68)]",04Dec@2,06Ran@3,p3,04Dec@2,False,3,9,-1,04Dec@2:product(1.0),-1,-1
1064,cdc5e602-3426-4771-bf96-5ebda208809c,06Ran@3,BUYER,RandomAgent,_SystemAgent,52,2,48,15,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,True,4,0,-1,06Ran@3:product(1.0),-1,-1
1065,b8d6cc53-8781-4018-b100-e451e27aec73,06Ran@3,BUYER,RandomAgent,_SystemAgent,52,6,48,15,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,False,4,0,-1,06Ran@3:product(1.0),-1,-1
1066,10d4a046-834a-4589-a174-f5874c2ab5dd,07Ran@3,BUYER,RandomAgent,_SystemAgent,52,2,48,15,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,True,4,0,-1,07Ran@3:product(1.0),-1,-1
1067,83cabffc-fc4c-403f-9d4f-60d2d8326861,06Ran@3,BUYER,RandomAgent,_SystemAgent,52,1,48,15,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,False,4,0,-1,06Ran@3:product(1.0),-1,-1
1068,29133ba9-2e50-4560-8d77-d6285a8d2ed8,05Ran@2,06Ran@3,RandomAgent,RandomAgent,18,5,24,15,-1,15,06Ran@3|05Ran@2,"[quantity: (1, 7), time: (15, 19), unit_price: (1, 34)]",05Ran@2,06Ran@3,p3,06Ran@3,True,3,15,-1,05Ran@2:product(1.0),-1,-1
1069,33e89f82-3e2a-4c67-a399-e4884bf22748,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,52,1,10,15,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,False,0,0,52,,-1,-1
1070,382cc335-572f-49ae-a006-7df85c88b573,03Dec@1,04Dec@2,DecentralizingAgent,DecentralizingAgent,25,1,33,15,-1,15,03Dec@1|04Dec@2,"[quantity: (1, 5), time: (20, 25), unit_price: (22, 44)]",03Dec@1,04Dec@2,p2,03Dec@1,False,2,17,25,,-1,-1
1071,8a01638d-1519-4788-9db3-b2bb48ebeead,07Ran@3,BUYER,RandomAgent,_SystemAgent,52,3,48,15,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,False,4,0,-1,07Ran@3:product(1.0),-1,-1
1072,4cf6f7ec-2418-4440-ac52-0013f9a91e45,06Ran@3,BUYER,RandomAgent,_SystemAgent,52,1,48,15,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,True,4,0,-1,06Ran@3:product(1.0),-1,-1
1073,02994181-47f1-43d8-837c-231d2d5b8725,05Ran@2,07Ran@3,RandomAgent,RandomAgent,15,3,21,15,-1,15,07Ran@3|05Ran@2,"[quantity: (1, 8), time: (15, 19), unit_price: (1, 34)]",05Ran@2,07Ran@3,p3,07Ran@3,True,3,7,-1,05Ran@2:product(1.0),-1,-1
1074,9be1d3fc-25b5-4bc9-8aab-c3a1dbbd2979,06Ran@3,BUYER,RandomAgent,_SystemAgent,52,1,48,15,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,True,4,0,-1,06Ran@3:product(1.0),-1,-1
1075,38e0b852-755a-4771-af68-c1020385675b,06Ran@3,BUYER,RandomAgent,_SystemAgent,52,1,48,15,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,False,4,0,-1,06Ran@3:product(1.0),-1,-1
1076,ba40b913-fa18-41f0-aee1-d931fb476048,05Ran@2,06Ran@3,RandomAgent,RandomAgent,22,4,15,15,-1,15,06Ran@3|05Ran@2,"[quantity: (1, 11), time: (15, 34), unit_price: (1, 34)]",05Ran@2,06Ran@3,p3,06Ran@3,True,3,14,-1,05Ran@2:product(1.0),-1,-1
1077,a9a34e4c-a629-4c49-80c7-4d6926081058,05Ran@2,07Ran@3,RandomAgent,RandomAgent,25,6,2,15,-1,15,07Ran@3|05Ran@2,"[quantity: (1, 6), time: (15, 34), unit_price: (1, 34)]",05Ran@2,07Ran@3,p3,07Ran@3,True,3,10,-1,05Ran@2:product(1.0),-1,-1
