index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
843,190cba3c-6b9b-4c19-96b5-1dd81a53b99a,SELLER,01Ran@0,_SystemAgent,RandomAgent,49,4,10,25,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,49,,-1,-1
844,abb6cadb-be9f-4266-ad6e-68a38c9ef40b,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,49,2,10,25,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,49,,-1,-1
845,0075db4f-9eaa-404b-acee-4ddf9aae9c31,SELLER,01Ran@0,_SystemAgent,RandomAgent,49,1,10,25,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,49,,-1,-1
846,7e3e39fd-3263-4bf0-99e4-fe8dfb0df37c,SELLER,01Ran@0,_SystemAgent,RandomAgent,49,2,10,25,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,49,,-1,-1
847,19f55744-3cb7-4e2c-94d0-b4675fe3b18f,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,50,1,10,26,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,50,,-1,-1
848,745df2f6-f556-40cd-8c16-91f9596273b8,SELLER,01Ran@0,_SystemAgent,RandomAgent,50,2,10,26,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,50,,-1,-1
849,138c1010-4dc0-40a7-98d1-92546b7eb7e8,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,50,3,41,26,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
850,1c66a923-dfd5-47b6-a795-3ea271c96d73,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,50,2,41,26,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
851,4c669ef1-5bc3-4563-9b6c-d4957dea31cc,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,50,4,10,26,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,50,,-1,-1
852,84d6ea20-9ffe-43b3-9cdf-35167f99806e,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,50,2,41,26,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
