index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
3178,b797fcff-c882-41ed-9a8a-1260371f5b35,SELLER,01Ran@0,_SystemAgent,RandomAgent,143,1,10,74,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,143,,-1,-1
3179,2611e4db-8f30-402c-92b4-5d901df920e9,03Dec@1,05Buy@2,DecentralizingAgent,BuyCheapSellExpensiveAgent,84,3,56,74,-1,74,03Dec@1|05Buy@2,"[quantity: (1, 5), time: (79, 84), unit_price: (37, 74)]",03Dec@1,05Buy@2,p2,03Dec@1,False,2,17,84,,-1,-1
3180,4b98ea14-d1ee-4b68-83c6-a2fb7482cb80,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,143,2,49,74,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,True,3,0,143,,-1,-1
3181,b5cd06c2-daac-481b-9025-499c232c4952,SELLER,00Ran@0,_SystemAgent,RandomAgent,143,1,10,74,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,True,0,0,143,,-1,-1
3182,612fac71-16b5-437f-a577-6554ca8c2a1c,SELLER,01Ran@0,_SystemAgent,RandomAgent,143,1,10,74,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,143,,-1,-1
3183,5782d2c6-4088-4051-ac8b-e58f699a718f,00Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,77,1,1,74,-1,74,03Dec@1|00Ran@0,"[quantity: (1, 5), time: (74, 77), unit_price: (1, 24)]",00Ran@0,03Dec@1,p1,03Dec@1,True,1,10,-1,00Ran@0:product(1.0),-1,-1
3184,d8102c8c-fe8a-4039-a58e-09c572daadee,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,143,1,49,74,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
3185,a2ade607-0cff-4a1a-b3a0-f022842b73cd,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,143,1,49,74,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
3186,59569e5e-5f9e-445e-8021-2347f21da18b,SELLER,01Ran@0,_SystemAgent,RandomAgent,143,1,10,74,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,143,,-1,-1
3187,e3a693f4-5196-45e6-b678-f3147883abf1,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,143,4,49,74,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
3188,dd7659fb-bbfe-4fdf-a59f-10736f463d55,SELLER,01Ran@0,_SystemAgent,RandomAgent,143,1,10,74,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,143,,-1,-1
3189,9d2e10b7-758a-4f19-9fce-f55f5620d1e4,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,143,3,49,74,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
3190,e05d697b-23ff-4619-bf8a-951d6ff1f9a7,SELLER,00Ran@0,_SystemAgent,RandomAgent,143,2,10,74,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,False,0,0,143,,-1,-1
3191,07e046e6-d02b-42ac-9c18-c94ac5c9b0ce,SELLER,00Ran@0,_SystemAgent,RandomAgent,143,1,10,74,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,False,0,0,143,,-1,-1
3192,195d5f01-1b3c-4a2a-ae9d-9251ee39fd6b,SELLER,01Ran@0,_SystemAgent,RandomAgent,143,5,10,74,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,143,,-1,-1
3193,ad940b1f-5621-4741-9fe6-0c269ffa7a54,SELLER,00Ran@0,_SystemAgent,RandomAgent,143,1,10,74,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,True,0,0,143,,-1,-1
3194,80e19ed2-dca0-46ba-9b40-b55dc2dcfdea,03Dec@1,04Ind@2,DecentralizingAgent,IndDecentralizingAgent,84,3,56,74,-1,74,03Dec@1|04Ind@2,"[quantity: (1, 5), time: (79, 84), unit_price: (37, 74)]",03Dec@1,04Ind@2,p2,03Dec@1,False,2,17,84,,-1,-1
3195,d54e53bc-5ed8-46af-87ec-db657d91d6a8,SELLER,01Ran@0,_SystemAgent,RandomAgent,143,2,10,74,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,143,,-1,-1
3196,841c1e4a-1457-477f-aa66-73a280e47f4d,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,143,1,49,74,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
3197,02b922ac-951e-4135-8d0a-702d251bbf1e,SELLER,00Ran@0,_SystemAgent,RandomAgent,143,2,10,74,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,True,0,0,143,,-1,-1
3198,2d6e8078-84b7-4b57-afd3-75548f8dc515,00Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,78,1,1,75,-1,75,03Dec@1|00Ran@0,"[quantity: (1, 5), time: (75, 78), unit_price: (1, 24)]",00Ran@0,03Dec@1,p1,03Dec@1,True,1,10,-1,00Ran@0:product(1.0),-1,-1
3199,1560661d-622f-490d-8591-5c98b2179763,SELLER,01Ran@0,_SystemAgent,RandomAgent,144,2,10,75,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,144,,-1,-1
3200,33f5a576-04a5-4391-b3ae-7a156a883de7,SELLER,01Ran@0,_SystemAgent,RandomAgent,144,1,10,75,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,144,,-1,-1
3201,9b446b73-b003-4d27-86a5-4eb9d2292a92,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,144,1,49,75,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
3202,a63bf716-67df-4fdb-adb8-90b7f0c68f7b,SELLER,00Ran@0,_SystemAgent,RandomAgent,144,2,10,75,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,False,0,0,144,,-1,-1
3203,71342426-ffc5-4024-8716-5475a962662f,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,144,1,49,75,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
3204,81f33612-e9f2-4d36-a453-56b801d5c0e6,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,76,4,8,75,-1,75,03Dec@1|01Ran@0,"[quantity: (1, 5), time: (75, 79), unit_price: (1, 24)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,15,-1,01Ran@0:product(1.0),-1,-1
3205,f5e4e1f0-51ca-4156-ab8e-fc70c3767c11,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,78,2,1,75,-1,75,03Dec@1|01Ran@0,"[quantity: (1, 5), time: (75, 78), unit_price: (1, 24)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,9,-1,01Ran@0:product(1.0),-1,-1
3206,138685dc-8c4a-44be-b843-b6da24cc8dd9,SELLER,01Ran@0,_SystemAgent,RandomAgent,144,2,10,75,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,144,,-1,-1
3207,3315b6f5-ef19-48f2-9aa8-38ad5f3c19d7,03Dec@1,05Buy@2,DecentralizingAgent,BuyCheapSellExpensiveAgent,80,3,55,75,-1,75,03Dec@1|05Buy@2,"[quantity: (1, 5), time: (80, 85), unit_price: (37, 74)]",03Dec@1,05Buy@2,p2,03Dec@1,False,2,17,80,,-1,-1
3208,1ce87863-d0de-428d-9b7e-78505b9c52cf,SELLER,00Ran@0,_SystemAgent,RandomAgent,144,2,10,75,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,False,0,0,144,,-1,-1
3209,cc54542e-20a4-4719-9d65-90571c10bafe,SELLER,01Ran@0,_SystemAgent,RandomAgent,144,1,10,75,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,144,,-1,-1
3210,1c029b55-8023-4379-bffb-df7c9c78e6d0,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,144,1,49,75,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
3211,6ff2e1b0-789d-4bbd-80e1-d5992b615286,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,144,1,49,75,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
3212,246d9a9e-3e52-49d5-8d99-bbd6d0f25c6e,SELLER,00Ran@0,_SystemAgent,RandomAgent,144,1,10,75,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,False,0,0,144,,-1,-1
3213,72d95d2d-3a8e-4f8d-b5f9-c03a776356d7,00Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,79,2,6,75,-1,75,03Dec@1|00Ran@0,"[quantity: (1, 5), time: (75, 79), unit_price: (1, 24)]",00Ran@0,03Dec@1,p1,03Dec@1,True,1,15,-1,00Ran@0:product(1.0),-1,-1
3214,115305c7-6246-44d5-8d89-26cef20ef181,SELLER,01Ran@0,_SystemAgent,RandomAgent,144,1,10,75,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,144,,-1,-1
3215,f8f7c740-7c98-42bd-9f63-2469540380d5,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,144,4,49,75,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
3216,7817d3e3-19ec-478e-80c2-0fdb511c3773,SELLER,01Ran@0,_SystemAgent,RandomAgent,144,4,10,75,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,144,,-1,-1
3217,dc943689-01af-4d0c-9c9b-6803e4ce1365,SELLER,00Ran@0,_SystemAgent,RandomAgent,144,3,10,75,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,False,0,0,144,,-1,-1
3218,f98644fb-4dbf-4273-87bf-1b507c876e80,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,144,1,49,75,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
3219,dda0b3d8-8d11-427a-bf8e-f3bab1561872,SELLER,00Ran@0,_SystemAgent,RandomAgent,144,1,10,75,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,False,0,0,144,,-1,-1
