index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
725,e68c16e3-0fc3-4c23-b2c3-b113afdc50c5,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,43,2,10,21,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,False,0,0,43,,-1,-1
726,33316784-c582-4af4-b076-466d89a99741,06Dec@3,BUYER,DecentralizingAgent,_SystemAgent,43,5,53,21,-1,-1,BUYER|06Dec@3,[],06Dec@3,BUYER,p4,BUYER,True,4,0,43,,-1,-1
727,99a0ebcf-8b60-4cdc-9d11-2cf7503ab5b0,03Ran@1,04Dec@2,RandomAgent,DecentralizingAgent,22,5,2,21,-1,21,04Dec@2|03Ran@1,"[quantity: (1, 5), time: (21, 25), unit_price: (1, 28)]",03Ran@1,04Dec@2,p2,04Dec@2,True,2,10,-1,03Ran@1:product(1.0),-1,-1
728,5b7f6bbc-dc60-4373-a9f7-a77b15582106,02Ind@1,04Dec@2,IndDecentralizingAgent,DecentralizingAgent,23,3,15,21,-1,21,04Dec@2|02Ind@1,"[quantity: (1, 5), time: (21, 23), unit_price: (1, 28)]",02Ind@1,04Dec@2,p2,04Dec@2,True,2,17,23,,-1,-1
729,968b4637-a2d9-4690-b4ba-ad1c67d7029c,03Ran@1,04Dec@2,RandomAgent,DecentralizingAgent,26,5,12,21,-1,21,04Dec@2|03Ran@1,"[quantity: (1, 5), time: (21, 29), unit_price: (1, 28)]",03Ran@1,04Dec@2,p2,04Dec@2,True,2,16,-1,03Ran@1:product(1.0),-1,-1
730,6313bf29-1d1c-4b12-9a74-e3eacc9e7d44,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,43,3,53,21,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,False,4,0,-1,07Buy@3:product(1.0),-1,-1
731,60cf4572-7a2f-4932-a9d3-c03ceaf0f765,04Dec@2,06Dec@3,DecentralizingAgent,DecentralizingAgent,29,5,58,21,-1,21,04Dec@2|06Dec@3,"[quantity: (1, 5), time: (26, 31), unit_price: (38, 76)]",04Dec@2,06Dec@3,p3,04Dec@2,False,3,17,29,,-1,-1
732,a977e570-367c-4466-8d82-a48c317f1f78,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,43,3,10,21,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,True,0,0,43,,-1,-1
733,57c84462-d946-4f4e-956c-16edc31f743b,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,43,1,53,21,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,True,4,0,-1,07Buy@3:product(1.0),-1,-1
734,fc9d50ac-c767-4cd0-8fd4-f67ff5a4a495,03Ran@1,04Dec@2,RandomAgent,DecentralizingAgent,23,1,5,21,-1,21,04Dec@2|03Ran@1,"[quantity: (1, 5), time: (21, 23), unit_price: (1, 28)]",03Ran@1,04Dec@2,p2,04Dec@2,True,2,14,-1,03Ran@1:product(1.0),-1,-1
735,678cfc35-ba47-47c9-b6db-6cebf2144796,06Dec@3,BUYER,DecentralizingAgent,_SystemAgent,43,3,53,21,-1,-1,BUYER|06Dec@3,[],06Dec@3,BUYER,p4,BUYER,False,4,0,-1,06Dec@3:product(1.0),-1,-1
736,cd747d9c-9702-44a3-8cc5-2a8274749db7,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,43,2,53,21,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,False,4,0,-1,07Buy@3:product(1.0),-1,-1
737,3a5d9a06-d9fb-44ea-ad65-ca7ff9310dcc,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,43,2,10,21,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,43,,-1,-1
738,b6bfa788-cfa5-401a-91be-802bcfe426aa,00Dec@0,02Ind@1,DecentralizingAgent,IndDecentralizingAgent,24,5,11,21,-1,21,02Ind@1|00Dec@0,"[quantity: (1, 5), time: (21, 25), unit_price: (1, 20)]",00Dec@0,02Ind@1,p1,02Ind@1,True,1,17,24,,-1,-1
739,d9861bb0-1c91-44b4-807f-1c9b7374f54f,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,43,4,10,21,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,True,0,0,43,,-1,-1
740,e54a9b71-72cc-437c-81b7-4c951c8d894d,01Buy@0,03Ran@1,BuyCheapSellExpensiveAgent,RandomAgent,21,3,18,21,-1,21,03Ran@1|01Buy@0,"[quantity: (1, 8), time: (21, 25), unit_price: (1, 20)]",01Buy@0,03Ran@1,p1,03Ran@1,True,1,13,-1,01Buy@0:product(1.0),-1,-1
741,f9422d69-fa1a-4427-9d6f-4cb271734005,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,43,2,10,21,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,False,0,0,43,,-1,-1
742,a9ef1b52-e90b-450b-ba43-360853ca8cb1,01Buy@0,02Ind@1,BuyCheapSellExpensiveAgent,IndDecentralizingAgent,22,5,10,21,-1,21,02Ind@1|01Buy@0,"[quantity: (1, 5), time: (21, 25), unit_price: (1, 20)]",01Buy@0,02Ind@1,p1,02Ind@1,True,1,17,-1,01Buy@0:product(1.0),-1,-1
743,f10c0637-379e-406d-8a14-f1fbbd4a7e8d,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,43,4,53,21,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,False,4,0,-1,07Buy@3:product(1.0),-1,-1
744,cf4e0667-92ab-40d4-b2c7-08f526ee839a,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,43,3,10,21,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,43,,-1,-1
745,4e281f37-1157-4b3f-8ce0-2693eb7830fe,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,43,2,10,21,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,43,,-1,-1
746,48d9c96c-1dc7-4aa8-bb72-7f5d6f1f3a70,06Dec@3,BUYER,DecentralizingAgent,_SystemAgent,43,2,53,21,-1,-1,BUYER|06Dec@3,[],06Dec@3,BUYER,p4,BUYER,False,4,0,-1,06Dec@3:product(1.0),-1,-1
747,1a89ef7c-72a8-431d-95bc-0f1a1ec76504,04Dec@2,07Buy@3,DecentralizingAgent,BuyCheapSellExpensiveAgent,28,5,58,21,-1,21,04Dec@2|07Buy@3,"[quantity: (1, 5), time: (25, 30), unit_price: (38, 76)]",04Dec@2,07Buy@3,p3,04Dec@2,False,3,17,28,,-1,-1
748,d7d859d7-ba49-4036-baff-3616124548b2,04Dec@2,07Buy@3,DecentralizingAgent,BuyCheapSellExpensiveAgent,27,5,56,22,-1,22,04Dec@2|07Buy@3,"[quantity: (1, 5), time: (25, 30), unit_price: (38, 76)]",04Dec@2,07Buy@3,p3,04Dec@2,False,3,17,27,,-1,-1
749,08bdd8d1-f1b6-4df8-8882-2d1b2f6472b9,06Dec@3,BUYER,DecentralizingAgent,_SystemAgent,44,3,53,22,-1,-1,BUYER|06Dec@3,[],06Dec@3,BUYER,p4,BUYER,True,4,0,44,,-1,-1
750,a10a0ff6-d158-4a80-bb34-e2737a413d10,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,44,3,10,22,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,True,0,0,44,,-1,-1
751,627d7bd2-c7e6-425a-ae19-7aabc2da41a5,01Buy@0,02Ind@1,BuyCheapSellExpensiveAgent,IndDecentralizingAgent,26,10,11,22,-1,22,02Ind@1|01Buy@0,"[quantity: (1, 13), time: (22, 26), unit_price: (1, 20)]",01Buy@0,02Ind@1,p1,02Ind@1,True,1,17,-1,01Buy@0:product(1.0),-1,-1
752,fb6e3dda-ac07-41d8-8d80-19037bc53209,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,44,2,10,22,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,44,,-1,-1
753,b4a5a229-ee8c-4869-aba8-b4d62cc78c3b,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,44,2,53,22,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,True,4,0,-1,07Buy@3:product(1.0),-1,-1
754,6a295de1-be28-45ef-849f-3980ac44f1f5,06Dec@3,BUYER,DecentralizingAgent,_SystemAgent,44,2,53,22,-1,-1,BUYER|06Dec@3,[],06Dec@3,BUYER,p4,BUYER,False,4,0,44,,-1,-1
755,36657912-4388-4374-9c68-70530e109b49,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,44,2,10,22,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,44,,-1,-1
756,099ec1d1-014e-4526-9e05-a4f9e262ea02,06Dec@3,BUYER,DecentralizingAgent,_SystemAgent,44,2,53,22,-1,-1,BUYER|06Dec@3,[],06Dec@3,BUYER,p4,BUYER,False,4,0,-1,06Dec@3:product(1.0),-1,-1
757,bda50bb2-49e3-4929-b61d-681e2e85e8c3,04Dec@2,07Buy@3,DecentralizingAgent,BuyCheapSellExpensiveAgent,29,5,58,22,-1,22,04Dec@2|07Buy@3,"[quantity: (1, 5), time: (26, 31), unit_price: (38, 76)]",04Dec@2,07Buy@3,p3,04Dec@2,False,3,17,29,,-1,-1
758,fce68ed7-2280-40b6-a868-b6b3ba6adea3,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,44,1,53,22,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,True,4,0,-1,07Buy@3:product(1.0),-1,-1
759,fb27292b-671f-43fb-b1d2-6b7b9e8acb90,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,44,5,10,22,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,False,0,0,44,,-1,-1
760,e3b5d7bf-ea16-4750-98aa-938b190f8c50,06Dec@3,BUYER,DecentralizingAgent,_SystemAgent,44,4,53,22,-1,-1,BUYER|06Dec@3,[],06Dec@3,BUYER,p4,BUYER,False,4,0,-1,06Dec@3:product(1.0),-1,-1
761,b74efad4-302b-48ad-936d-a1ed42e45bc7,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,44,4,10,22,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,44,,-1,-1
762,2511f052-da40-4da5-a4ff-d1238b7df17c,00Dec@0,03Ran@1,DecentralizingAgent,RandomAgent,29,19,40,22,-1,22,00Dec@0|03Ran@1,"[quantity: (1, 19), time: (27, 32), unit_price: (20, 40)]",00Dec@0,03Ran@1,p1,00Dec@0,False,1,10,-1,00Dec@0:product(1.0),-1,-1
